,ID_year,democratic_performance_numeric,clean_elections,inclusive_suffrage,free_political_parties,elected_government,access_to_justice,freedom_of_expression,freedom_of_association_and_assembly,freedom_of_religion,freedom_of_movement,personal_integrity_and_security2,social_group_equality,basic_welfare,gender_equality,effective_parliament,judicial_independence,media_integrity,absence_of_corruption,predictable_enforcement,civil_society_participation,electoral_participation,direct_democracy,local_democracy
freedom_of_movement,-0.004681403594198151,-0.6654184793237625,0.6975357266029615,0.47093784603958017,0.7733954576253643,0.626722547821281,0.5992187736157768,0.8042326944861362,0.7943471533916472,0.6918046035788432,1.0,0.7135018066021954,0.5963041927382241,0.38154132344600594,0.5905989697268533,0.5900982331935118,0.620020919140753,0.6440001677284998,0.5523284963487638,0.6520089801910589,0.44314348817750193,0.22125662992490427,0.3079582547752592,0.6751289675848617
personal_integrity_and_security2,0.06647603263939104,-0.6427175173252014,0.717299215207495,0.5046526523402237,0.6492401036246596,0.5287346137806272,0.743752634662961,0.7795729115445238,0.7087591618291627,0.5343157725090601,0.7135018066021954,1.0,0.786737423707757,0.6040591910438544,0.6992865361179633,0.6182386324127354,0.6365462809107705,0.5760910648319687,0.6955968482379581,0.757674792410707,0.41095083145475964,0.27347340450458135,0.3017931929086054,0.6455565874586737
social_group_equality,0.04809754011510975,-0.5475058916873755,0.630087208515813,0.45828133942427823,0.5446765788780057,0.39955280308500557,0.7693718767836242,0.6451556546683018,0.5671906675223292,0.3863099589517938,0.5963041927382241,0.786737423707757,1.0,0.6673254650316376,0.8248475916770287,0.5989356063523403,0.5988280746247945,0.48106970777923536,0.7455772204384354,0.732882189163919,0.3961631568169057,0.2710472197675646,0.3851840119559757,0.5388789588608577
basic_welfare,0.2850741840851797,-0.37765566510582693,0.47066282242778545,0.35515832725887125,0.29310881055813565,0.32239669439651353,0.5015353596665473,0.34872465683712833,0.2979346349524392,0.12532076092291922,0.38154132344600594,0.6040591910438544,0.6673254650316376,1.0,0.6294487394974161,0.39843283635282606,0.3806145370130192,0.21923169372829224,0.5595043178013674,0.5048864538436976,0.029842525185568933,0.25434206018620814,0.2833363459704479,0.4248864032618881
gender_equality,0.22292858767861537,-0.5897877916518589,0.5832411785081623,0.4654221690744936,0.5928992797350744,0.5137449645148408,0.618412880712055,0.614199086357186,0.5938604171669684,0.47763711841667056,0.5905989697268533,0.6992865361179633,0.8248475916770287,0.6294487394974161,1.0,0.5196153586448147,0.5329838112631474,0.5273332718662981,0.6049334489573,0.6407051584235921,0.38180328856739987,0.3311140715156169,0.34769669183772245,0.6002811477835299
effective_parliament,0.06433649381286748,-0.7186491021279003,0.792368711792744,0.5619363376944682,0.6986542588252527,0.5135835446473365,0.7109455810911239,0.7533279384692545,0.702425505339311,0.5094040814829516,0.5900982331935118,0.6182386324127354,0.5989356063523403,0.39843283635282606,0.5196153586448147,1.0,0.7971809374560305,0.7666976185592967,0.7035640952915022,0.7912307648034499,0.5996289885641319,0.18772042373870113,0.21522692046540007,0.6423417865904345
judicial_independence,-0.06451440332061295,-0.7132113406560114,0.7738515781329355,0.512713885787207,0.6878225041807463,0.5220671270669621,0.73416222174434,0.7369579434987783,0.7230628525587487,0.5630282811605031,0.620020919140753,0.6365462809107705,0.5988280746247945,0.3806145370130192,0.5329838112631474,0.7971809374560305,1.0,0.7098422605952335,0.777624360942456,0.8392007129171623,0.5239335761886439,0.11757132597957697,0.19190056218278903,0.6805541755930812
media_integrity,0.044662190931116424,-0.7710274285033457,0.7968297152400363,0.4905319128725651,0.803563268131485,0.6219666853596304,0.6057180410443849,0.8482832157162593,0.8056178322931755,0.645206203348041,0.6440001677284998,0.5760910648319687,0.48106970777923536,0.21923169372829224,0.5273332718662981,0.7666976185592967,0.7098422605952335,1.0,0.5768849698039211,0.7131893462997176,0.7088120418165663,0.1873763061494401,0.18082809626089028,0.6861462639308055
absence_of_corruption,-0.027624160493120845,-0.6579798278609438,0.7630466662946366,0.5269509822789802,0.5910116969703595,0.412387792881897,0.7451030690319698,0.6583653805451833,0.612238786100963,0.4365792151651791,0.5523284963487638,0.6955968482379581,0.7455772204384354,0.5595043178013674,0.6049334489573,0.7035640952915022,0.777624360942456,0.5768849698039211,1.0,0.880940014692744,0.4314277696715048,0.21336335033819598,0.21178015542020376,0.6196700543606063
predictable_enforcement,-0.01662720972075254,-0.7407480280678395,0.8174161313802476,0.555559705247376,0.6858658261283558,0.5077253452773071,0.8165998976569747,0.7886863473959671,0.7238266604287251,0.5550238388585073,0.6520089801910589,0.757674792410707,0.732882189163919,0.5048864538436976,0.6407051584235921,0.7912307648034499,0.8392007129171623,0.7131893462997176,0.880940014692744,1.0,0.5571147629118441,0.23349979046227526,0.22248575891713532,0.7037348931747117
civil_society_participation,0.06894095981500542,-0.5583167828494432,0.5741214055915369,0.38034057233714774,0.6495188170867773,0.4360467547849236,0.5529451908882086,0.6531648194148427,0.6415301127350734,0.5416064985885514,0.44314348817750193,0.41095083145475964,0.3961631568169057,0.029842525185568933,0.38180328856739987,0.5996289885641319,0.5239335761886439,0.7088120418165663,0.4314277696715048,0.5571147629118441,1.0,0.16615049100265253,0.10434830489401915,0.4822222946272173
electoral_participation,-0.09889608492991504,-0.37159140528324774,0.3024598160249034,0.38314853899769336,0.32088674541500894,0.34865922314735637,0.15078342406541914,0.26169513570265346,0.26425652018132223,0.25509800451824033,0.22125662992490427,0.27347340450458135,0.2710472197675646,0.25434206018620814,0.3311140715156169,0.18772042373870113,0.11757132597957697,0.1873763061494401,0.21336335033819598,0.23349979046227526,0.16615049100265253,1.0,0.16505505025049083,0.28753979553238884
direct_democracy,0.06995603472265562,-0.25693968621533597,0.2403317786139631,0.1719526187855684,0.2509330519750505,0.2647595503852564,0.24899856359878625,0.28912098781101025,0.21799692906102078,0.16336624631088506,0.3079582547752592,0.3017931929086054,0.3851840119559757,0.2833363459704479,0.34769669183772245,0.21522692046540007,0.19190056218278903,0.18082809626089028,0.21178015542020376,0.22248575891713532,0.10434830489401915,0.16505505025049083,1.0,0.16713974566181974
local_democracy,0.06263304439575423,-0.7999112087870459,0.7871784368697733,0.5955676667925155,0.7776312883712072,0.6697104288828096,0.5261100805160116,0.7479656147250646,0.7480813460054823,0.6614495930698059,0.6751289675848617,0.6455565874586737,0.5388789588608577,0.4248864032618881,0.6002811477835299,0.6423417865904345,0.6805541755930812,0.6861462639308055,0.6196700543606063,0.7037348931747117,0.4822222946272173,0.28753979553238884,0.16713974566181974,1.0
