,ID_year,democratic_performance_numeric,clean_elections,inclusive_suffrage,free_political_parties,elected_government,access_to_justice,freedom_of_expression,freedom_of_association_and_assembly,freedom_of_religion,freedom_of_movement,personal_integrity_and_security2,social_group_equality,basic_welfare,gender_equality,effective_parliament,judicial_independence,media_integrity,absence_of_corruption,predictable_enforcement,civil_society_participation,electoral_participation,direct_democracy,local_democracy
freedom_of_movement,0.19816425284243414,-0.7770391272567364,0.7772404451407386,0.4753132499077596,0.8101251783191569,0.7187235464830202,0.802031675654685,0.8704684473758912,0.8676406845803755,0.8148025239592273,1.0,0.8006150538538395,0.6889481343456184,0.49980940353965614,0.6407844683060311,0.7230783291170924,0.749563703058476,0.8003724396770681,0.5624760234410094,0.7437920960225982,0.7595870916339921,0.5259799211502787,0.32996576921374,0.7193093444264278
personal_integrity_and_security2,0.19656971084671743,-0.8044580445915116,0.7867983478967866,0.4614819289620388,0.7401034646715955,0.6685519346187129,0.8901698857838835,0.8636006400333716,0.8141484127160794,0.688496693302752,0.8006150538538395,1.0,0.8570757477316996,0.7126149384543622,0.757438403164849,0.7540032849152695,0.7856236525522766,0.7429162061144873,0.7581999394783693,0.8764703395745165,0.725774750465007,0.4953785618132971,0.347070517826694,0.7480051900622269
social_group_equality,0.1427304148403177,-0.7343938026103807,0.7131627611050663,0.4390893535414229,0.6512471742441879,0.6000522759163822,0.836037940863431,0.7475069053970671,0.6871393245591206,0.5558671188423416,0.6889481343456184,0.8570757477316996,1.0,0.7509957666112512,0.8439017653971589,0.707852958193385,0.736548412710546,0.6294357643328499,0.7876379037459568,0.8420712050301055,0.6411461081558898,0.4456952189156056,0.36015851742616933,0.685697493738165
basic_welfare,0.39040692277917677,-0.61656147068608,0.6036137979419586,0.38040813088180825,0.5248618336474918,0.5300345785570801,0.6626567649767078,0.5559372476475162,0.5116830619452404,0.312537122599819,0.49980940353965614,0.7126149384543622,0.7509957666112512,1.0,0.7022036199638545,0.5725665622311656,0.5253865548386532,0.477832147119261,0.6351518402167501,0.6781584245053083,0.4222332581614047,0.398904417325117,0.33133460761435374,0.5992751701932082
gender_equality,0.34191856923461283,-0.7092339147086946,0.7063675555069825,0.5178194702707943,0.6830164306361752,0.650168421000725,0.7246211869868443,0.7151517171145826,0.6730270752727684,0.5520586130074351,0.6407844683060311,0.757438403164849,0.8439017653971589,0.7022036199638545,1.0,0.7037295195946914,0.6613133214945396,0.6421602723911906,0.6385644746393166,0.7264685976692518,0.6320097892726814,0.5165148522315219,0.375246100179294,0.6909184099399468
effective_parliament,0.26823297031928806,-0.8290835246935894,0.9243848703740682,0.7717894873302785,0.8244728471981978,0.8172461404937236,0.7757007995157605,0.8223157205231126,0.7959057678245849,0.6544484496810967,0.7230783291170924,0.7540032849152695,0.707852958193385,0.5725665622311656,0.7037295195946914,1.0,0.7503571969167636,0.8059914333463377,0.6200728910765329,0.776799649285002,0.7594297721738483,0.6969091727765916,0.34589329353777865,0.7635706617784418
judicial_independence,0.09301431571981485,-0.7983281758533053,0.7516705045696019,0.3948029039906793,0.7446117594167087,0.6529197175626692,0.8205526317536427,0.8141305576065347,0.7955890904969762,0.7089206359724112,0.749563703058476,0.7856236525522766,0.736548412710546,0.5253865548386532,0.6613133214945396,0.7503571969167636,1.0,0.7562563324256573,0.7467962188401402,0.8322498899879333,0.7319459036087949,0.40503300789704677,0.3078408304566697,0.7448783269150475
media_integrity,0.2995774208706573,-0.8380099435472788,0.8331604495100622,0.5067299876972524,0.9150063102130657,0.7730557341028204,0.7633498166920791,0.9213210246662211,0.9062609109120503,0.7733451176690882,0.8003724396770681,0.7429162061144873,0.6294357643328499,0.477832147119261,0.6421602723911906,0.8059914333463377,0.7562563324256573,1.0,0.5155760115863207,0.7224580004890943,0.8732013541523508,0.5380612874419757,0.32642942049620516,0.7560699051242304
absence_of_corruption,-0.03982537574604347,-0.6780926644629482,0.6309579476199777,0.28823605620633574,0.5135966755429976,0.46634357483795164,0.7755446716690299,0.635396002552953,0.5834876455505228,0.49793232691738387,0.5624760234410094,0.7581999394783693,0.7876379037459568,0.6351518402167501,0.6385644746393166,0.6200728910765329,0.7467962188401402,0.5155760115863207,1.0,0.8675142728818579,0.546959190899512,0.29114627022386336,0.2256597083657579,0.6258198182407326
predictable_enforcement,0.1079784849204809,-0.8073349691754768,0.7853494936945483,0.4459561137541661,0.7099652975413746,0.6381510838610184,0.9076481340633477,0.8248537563143967,0.7637636829334079,0.6508207500194567,0.7437920960225982,0.8764703395745165,0.8420712050301055,0.6781584245053083,0.7264685976692518,0.776799649285002,0.8322498899879333,0.7224580004890943,0.8675142728818579,1.0,0.7285869842434182,0.44754202903981594,0.2978819611547889,0.7401359831546183
civil_society_participation,0.26713725320238846,-0.7541953193640487,0.7585737397584111,0.47231882655233515,0.8184953603913306,0.6784861008976277,0.7694738914345927,0.8608916530147936,0.8432996665899302,0.7514336192160496,0.7595870916339921,0.725774750465007,0.6411461081558898,0.4222332581614047,0.6320097892726814,0.7594297721738483,0.7319459036087949,0.8732013541523508,0.546959190899512,0.7285869842434182,1.0,0.5017628342331912,0.3012073256285486,0.6980389055592423
electoral_participation,0.2219592727378355,-0.5889043183445595,0.7006958288850124,0.7797959633992501,0.6194675744019082,0.6919083108651518,0.47533162841257676,0.5424394274537956,0.5475493208851845,0.4787487063633595,0.5259799211502787,0.4953785618132971,0.4456952189156056,0.398904417325117,0.5165148522315219,0.6969091727765916,0.40503300789704677,0.5380612874419757,0.29114627022386336,0.44754202903981594,0.5017628342331912,1.0,0.2648983379735103,0.5256909444910907
direct_democracy,0.20247690542672245,-0.36033812852999864,0.35552958872153273,0.285194596953719,0.36580378017464565,0.3850340333320917,0.33433814022676067,0.36338987227322844,0.3301693054706953,0.23935221564153383,0.32996576921374,0.347070517826694,0.36015851742616933,0.33133460761435374,0.375246100179294,0.34589329353777865,0.3078408304566697,0.32642942049620516,0.2256597083657579,0.2978819611547889,0.3012073256285486,0.2648983379735103,1.0,0.32677974439165025
local_democracy,0.2034328941598736,-0.8606448256316236,0.8062949705327909,0.5008142259192445,0.7904283635769381,0.7495356917132817,0.7147527819482377,0.80120528263285,0.7872784689635833,0.6778848302819467,0.7193093444264278,0.7480051900622269,0.685697493738165,0.5992751701932082,0.6909184099399468,0.7635706617784418,0.7448783269150475,0.7560699051242304,0.6258198182407326,0.7401359831546183,0.6980389055592423,0.5256909444910907,0.32677974439165025,1.0
